Abe Masakatsu
Tokugawa Ieyasu
Tokugawa Nariaki
Tokugawa Yoshinobu
Toyotomi Hideyori
Toyotomi Hideyoshi
Tozuka Tadaharu
Tsukahara Bokuden
Uesugi Kagekatsu
Uesugi Kagetora
Uesugi Kenshin
Ujiie Naotomo
Ukita Naoie
Ukita Okiie
Umezawa Michiharu
Usami Sadamitsu
Uyama Hisanobu
Wada Shinsuke
Watanabe Kazan
Watanabe no Tsuna
Yagyu Jubei Mitsuyoshi
Yagyu Munenori
Yamada Arinaga
Yamada Arinobu
Yamada Nagamasa
Yamagata Masakage
Yamanami Keisuke
Yamaoka Tesshū
Yamauchi Kazutoyo
Yanagisawa Yoshiyasu
Yonekura Shigetsugu
Yūki Hideyasu
